News ID,Content,Noun Chunks,Indexed Noun Chunks
N10000,Predicting Atlanta United's lineup against Columbus Crew in the U.S. Open Cup,"[""atlanta united's lineup"", 'columbus crew', 'the u.s. open cup']","[76, 118, 499]"
N10001,Mitch McConnell: DC statehood push is 'full bore socialism',"['dc statehood push', 'full bore socialism']","[133, 184]"
N10002,Home In North Highlands Damaged By Fire,"['home', 'north highlands', 'fire']","[221, 342, 175]"
N10003,Meghan McCain blames 'liberal media' and 'third-wave feminism' after getting heat over husband's Kamala Harris T-shirts,"['meghan mccain', 'liberal media', ""'third-wave feminism"", 'heat', ""husband's kamala harris t-shirts""]","[297, 273, 3, 207, 226]"
N10004,Today in History: Aug 1,"['today', 'history', 'aug']","[520, 219, 78]"
N10005,Odell Beckham Jr New Custom Rolls Royce Cullinan,['odell beckham jr new custom rolls royce cullinan'],[346]
N10006,This Attention-Grabbing Chevrolet Malibu Packs A 454 Ci V8,['a 454 ci v8'],[21]
N10007,"GOP senators urge Trump to reject Iran's 'nuclear blackmail,' seek to 'snapback' sanctions at the UN","['gop senators', 'trump', ""iran's 'nuclear blackmail"", ""to 'snapback' sanctions"", 'the un']","[199, 535, 237, 519, 500]"
N10008,5 great Mexican restaurants in Lebanon County,"['5 great mexican restaurants', 'lebanon county']","[16, 270]"
N10009,NFL officials union head expects a lot of preseason PI review stoppages,"['nfl officials union head', 'a lot', 'preseason pi review stoppages']","[337, 35, 388]"
N10010,"Top Analyst Upgrades and Downgrades: American Eagle, Atlassian, Match, NextEra, Nordstom, Office Depot, Roku, Stamps.com, Tanger and More","['top analyst upgrades', 'downgrades', 'american eagle', 'atlassian', 'match', 'nextera', 'nordstom', 'office depot', 'roku', 'stamps.com', 'tanger']","[524, 149, 60, 77, 290, 336, 341, 348, 411, 441, 458]"
N10011,Alice Cooper Shuts Down Rumor He Has a 'Death Pact' With Wife,"['alice cooper', 'he', ""a 'death pact"", 'wife']","[56, 206, 20, 561]"
N10012,The ideal landing spots for the top 30 NBA free agents,"['the ideal landing spots', 'the top 30 nba free agents']","[480, 498]"
N10013,This Popular UK Makeup Brand Is Finally Coming to Target,"['this popular uk makeup brand', 'target']","[514, 459]"
N10014,Red Line To Be Back To Speed By Labor Day: MBTA,"['red line', 'speed', 'labor day', 'mbta']","[401, 436, 263, 293]"
N10015,The #1 Way to Invest for Retirement,"['the #1 way', 'retirement']","[467, 407]"
N10016,Dan Woike: Kevin Durant's ruptured Achilles could signal the end of one of the great NBA lineups,"['dan woike', ""kevin durant's ruptured achilles"", 'the end', 'the great nba lineups']","[129, 259, 474, 478]"
N10017,Pete Buttigieg raised staggering $7 million in April alone,"['pete buttigieg', 'april']","[372, 70]"
N10018,Breakfast Mistakes You Didn't Know You Were Making,"['you', 'you']","[571, 571]"
N10019,Minnie Driver Just Launched a Chic Furniture Collection with One Kings Lane,"['minnie driver', 'a chic furniture collection', 'one kings lane']","[305, 28, 351]"
N10020,Baltimore's budget for ethics enforcement: $0,"[""baltimore's budget"", 'ethics enforcement']","[81, 160]"
N10021,Fruit Museum,['fruit museum'],[183]
N10022,"After more than 3 decades, familiar face at Devil's Head Fire Lookout Tower retires","['more than 3 decades', 'familiar face', ""devil's head fire lookout tower""]","[310, 167, 138]"
N10023,Drew League fans took video of LaVar as he found out about Lonzo's trade,"['drew league fans', 'video', 'lavar', 'he', ""lonzo's trade""]","[153, 547, 269, 206, 275]"
N10024,"U.S. Open 2019: Tee times for Round 4, Sunday's TV schedule, how to watch live","['u.s. open', 'tee times', 'round', ""sunday's tv schedule""]","[539, 461, 413, 452]"
N10025,"At Tampa General Hospital, 3-D printers are removing guesswork for doctors and patients","['tampa general hospital', '3-d printers', 'guesswork', 'doctors', 'patients']","[457, 14, 204, 143, 368]"
N10026,Rockets land in an Iraqi military post home to US personnel,"['rockets land', 'an iraqi military post', 'us personnel']","[410, 64, 544]"
N10027,Trump: '2 weeks and big Deportation begins!',['trump'],[535]
N10028,Democrats plan to ask Hope Hicks about hush money schemes to silence affair allegations against Trump,"['democrats', 'hope hicks', 'hush money schemes', 'affair allegations', 'trump']","[137, 223, 227, 47, 535]"
